nl_cmd,bash_cmd
hey can you lock the screen for me,lock-screen
could you lock my screen now,lock-screen
please lock the screen,lock-screen
i need you to lock the screen,lock-screen
can you lock my device,lock-screen
lock the screen for me please,lock-screen
lets lock the screen,lock-screen
lock my screen right now,lock-screen
can you secure the screen for me,lock-screen
hey can you lock the display,lock-screen
lets bring all the windows down,minimize-all-window
can you minimize all the windows for me,minimize-all-window
hey can you put all the windows down,minimize-all-window
minimize everything on the screen,minimize-all-window
can you hide all open windows,minimize-all-window
lets get all the windows minimized,minimize-all-window
please minimize all the windows,minimize-all-window
can you clear the screen by minimizing everything,minimize-all-window
go ahead and minimize all windows,minimize-all-window
i need all windows minimized can you do that,minimize-all-window
can you set an alarm for <time> am,alarm <time>
i need an alarm at <time> am,alarm <time>
hey can you wake me up at <time> am,alarm <time>
lets set an alarm for <time> am,alarm <time>
could you put an alarm on for <time> pm,alarm <time>
make sure i have an alarm at <time> am,alarm <time>
i need an alarm set for <time> oclock am,alarm <time>
please set an alarm to go off at <time> am,alarm <time>
can you remind me at <time> am,alarm <time>
schedule an alarm for <time> pm,alarm <time>
set an alarm for <time> in the morning,alarm <time> am
i need an alarm at <time> in the morning,alarm <time> am
can you wake me up at <time> in the morning,alarm <time> am
lets set an alarm for <time> morning time,alarm <time> am
please make an alarm for <time> early in the day,alarm <time> am
put an alarm for <time> in the morning,alarm <time> am
schedule an alarm for <time> morning,alarm <time> am
i want a morning alarm set for <time>,alarm <time> am
can you set an alarm for <time> oclock in the morning,alarm <time> am
create a morning alarm for <time>,alarm <time> am
can you close this window for me,close-window
close the window im on,close-window
go ahead and close the current window,close-window
close this open window please,close-window
can you exit this window,close-window
lets close this window now,close-window
shut down the current window,close-window
close out of this window,close-window
can you get rid of this window,close-window
please close the window i have open,close-window
close all the tabs for me,close-all-tabs
can you close all open tabs,close-all-tabs
please shut down all tabs,close-all-tabs
exit all the tabs i have open,close-all-tabs
close out all the tabs,close-all-tabs
can you get rid of every apps,close-all-tabs
i need all the apps closed,close-all-tabs
lets close every apps now,close-all-tabs
go ahead and close all apps,close-all-tabs
can you shut all the open apps,close-all-tabs
set an alarm for <time> tonight,alarm <time> pm
i need an alarm at <time> this evening,alarm <time> pm
can you set an alarm for <time> at night,alarm <time> pm
lets make an alarm for <time> tonight,alarm <time> pm
schedule an alarm for <time> later this evening,alarm <time> pm
put an alarm for <time> at night,alarm <time> pm
schedule me an alarm for <time> tonight,alarm <time> pm
create a night time alarm for <time>,alarm <time> pm
add an alarm at <time> tonight,alarm <time> pm
set an alarm for <time> pm ,alarm <time> pm
can you restart my computer,restart
restart this system for me,restart
can you reboot the pc,restart
i want you to restart the machine,restart
can you help me reboot this,restart
i need this system restarted,restart
could you reboot everything,restart
can you turn this off and on again,restart
do a restart for me,restart
reboot this device please,restart
can you shut down the system,shutdown
shut this computer off,shutdown
turn off the system,shutdown
i need you to shut down the pc,shutdown
can you power off this device,shutdown
shut this machine down for me,shutdown
can you turn off the laptop,shutdown
i want this system to shut down,shutdown
power down the computer,shutdown
can you help me shut this off,shutdown
can you hibernate the system,hibernate
put my laptop into hibernation,hibernate
hibernate this machine,hibernate
i need you to hibernate the system,hibernate
can you send the computer to sleep,hibernate
sleep my pc,hibernate
could you sleep the laptop,hibernate
lets sleep the system,hibernate
can you make this computer sleep,hibernate
sleep the system for me,hibernate
can you log me out,logout
i need to log out now,logout
log out of my account,logout
could you log me off,logout
please log me out of the system,logout
end this session and log me out,logout
can you sign me out,logout
im done log me out,logout
can we log out now,logout
help me log out of this system,logout
what day is it today,day
can you tell me the day of the week,day
do you know what day it is,day
whats todays day,day
could you check the day for me,day
tell me the day of the week,day
what day are we on,day
can you remind me what day it is,day
do you know todays day,day
whats the day today,day
can you find this song <song-name> for me,spotify <song-name>
could you search for the song <song-name> for me,spotify <song-name>
please search for <song-name> on spotify for me,spotify <song-name>
search the song <song-name> for me,spotify <song-name>
find this song <song-name> for me,spotify <song-name>
could you look up <song-name> on spotify,spotify <song-name>
look up the song <song-name> on spotify,spotify <song-name>
please look up <song-name> on spotify,spotify <song-name>
can you search <song-name> on spotify,spotify <song-name>
can you check for the song <song-name> on spotify,spotify <song-name>
can you find this video <search-query> for me on youtube,youtube <search-query>
search for <search-query> on youtube for me,youtube <search-query>
could you search youtube for <search-query> for me,youtube <search-query>
please look up <search-query> for me on youtube,youtube <search-query>
can you look up <search-query> on youtube for me,youtube <search-query>
look up the video <search-query> on youtube,youtube <search-query>
find <search-query> on youtube,youtube <search-query>
could you find <search-query> on youtube,youtube <search-query>
can you check if <search-query> is on youtube,youtube <search-query>
look for <search-query> on youtube,youtube <search-query>
search <search-query> for me,browser <search-query>
can you search for <search-query>,browser <search-query>
please search for <search-query>,browser <search-query>
could you search <search-query>,browser <search-query>
search and find <search-query>,browser <search-query>
search this query <search-query>,browser <search-query>
can you search for this <search-query>,browser <search-query>
please search and show <search-query>,browser <search-query>
could you search for this term <search-query>,browser <search-query>
search and look up <search-query>,browser <search-query>
can you switch to dark mode for me,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
could you change the theme to dark,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
please apply the dark theme now,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
id like the dark theme can you set it up,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
turn on the dark mode please,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
can we go with a dark appearance,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
change to the dark theme for me,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
lets switch everything to dark mode,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
can you make the interface dark,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
i want the dark theme can you enable it,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-dark'
can you switch back to light mode for me,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
could you change the theme to light,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
please apply the light theme now,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
id like the light theme can you set it up,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
turn on the light mode please,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
can we go with a light appearance,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
change to the light theme for me,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
lets switch everything to light mode,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
switch the theme to light please,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
please go ahead and activate light mode,gsettings set org.gnome.desktop.interface gtk-theme 'Yaru-light'
can you turn on bluetooth for me,rfkill unblock bluetooth
please enable the bluetooth now,rfkill unblock bluetooth
switch on the bluetooth please,rfkill unblock bluetooth
i need bluetooth on can you do that,rfkill unblock bluetooth
turn bluetooth on for me,rfkill unblock bluetooth
activate the bluetooth connection please,rfkill unblock bluetooth
lets get the bluetooth turned on,rfkill unblock bluetooth
could you enable bluetooth for me,rfkill unblock bluetooth
go ahead and switch on bluetooth,rfkill unblock bluetooth
please power up the bluetooth,rfkill unblock bluetooth
can you turn off bluetooth for me,rfkill block bluetooth
please disable the bluetooth now,rfkill block bluetooth
switch off the bluetooth please,rfkill block bluetooth
i dont need bluetooth can you turn it off,rfkill block bluetooth
turn bluetooth off for me,rfkill block bluetooth
deactivate the bluetooth connection please,rfkill block bluetooth
can we power down the bluetooth,rfkill block bluetooth
lets get the bluetooth turned off,rfkill block bluetooth
could you disable bluetooth for me,rfkill block bluetooth
go ahead and switch off bluetooth,rfkill block bluetooth
can you turn on the wi-fi,nmcli radio wifi on
please activate the wi-fi,nmcli radio wifi on
lets get the wi-fi working,nmcli radio wifi on
can you switch on the wi-fi,nmcli radio wifi on
i need to connect to wi-fi,nmcli radio wifi on
turn the wi-fi on for me,nmcli radio wifi on
can you make the wi-fi available,nmcli radio wifi on
please enable the wireless network,nmcli radio wifi on
set up the wi-fi,nmcli radio wifi on
can you make wi-fi active,nmcli radio wifi on
can you disable the wi-fi,nmcli radio wifi off
please disconnect the wi-fi,nmcli radio wifi off
turn off the wireless connection,nmcli radio wifi off
lets disable wi-fi,nmcli radio wifi off
can you stop the wi-fi,nmcli radio wifi off
disconnect the wi-fi for me,nmcli radio wifi off
can you turn off the wireless network,nmcli radio wifi off
please stop the wi-fi service,nmcli radio wifi off
disable the wi-fi connection,nmcli radio wifi off
can you make the wi-fi inactive,nmcli radio wifi off
can you turn on airplane mode for me,nmcli radio all off
please activate airplane mode,nmcli radio all off
i need airplane mode on,nmcli radio all off
please put the system in airplane mode,nmcli radio all off
could you enable airplane mode for me,nmcli radio all off
can you turn on flight mode,nmcli radio all off
please activate flight mode,nmcli radio all off
i need flight mode on,nmcli radio all off
can you switch on flight mode,nmcli radio all off
could you activate flight mode,nmcli radio all off
please disable airplane mode,nmcli radio all on
can you switch off airplane mode,nmcli radio all on
please turn off airplane mode,nmcli radio all on
lets disable airplane mode now,nmcli radio all on
can you deactivate airplane mode,nmcli radio all on
can you turn off flight mode,nmcli radio all on
please disable flight mode,nmcli radio all on
i need flight mode off,nmcli radio all on
can you switch off flight mode,nmcli radio all on
turn off flight mode now,nmcli radio all on
can you turn on the night light for me,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
please activate the night light,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
i need the night light to be enabled,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
could you switch on the night light,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
turn the night light on for me,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
can you enable the night light,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
lets activate the night light now,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
please make the night light active,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
could you start the night light,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
can you get the night light working,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled true
can you turn off the night light,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false
please deactivate the night light,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false
i need the night light turned off,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false
can you switch off the night light,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false
turn off the night light for me,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false
please disable the night light,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false
lets turn the night light off,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false
could you make the night light inactive,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false
please stop the night light,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false
could you turn off the night light feature,gsettings set org.gnome.settings-daemon.plugins.color night-light-enabled false


#timer

set a timer for 1 second,sleep 60 && notify-send "timer done" "your 1 second timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
start a 2 seconds timer,sleep 2 && notify-send "timer done" "your 2 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
can you set a timer for 3 seconds,sleep 3 && notify-send "timer done" "your 3 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
i need a timer for 4 seconds,sleep 4 && notify-send "timer done" "your 4 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
begin a timer for 5 seconds,sleep 5 && notify-send "timer done" "your 5 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
put a 6 seconds timer,sleep 6 && notify-send "timer done" "your 6 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
countdown 7 seconds,sleep 7 && notify-send "timer done" "your 7 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
set a timer for 8 seconds,sleep 8 && notify-send "timer done" "your 8 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
start a 9 seconds timer,sleep 9 && notify-send "timer done" "your 9 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
can you set a timer for 10 seconds,sleep 10 && notify-send "timer done" "your 10 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
i need a timer for 11 seconds,sleep 11 && notify-send "timer done" "your 11 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
begin a timer for 12 seconds,sleep 12 && notify-send "timer done" "your 12 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
put a 13 seconds timer,sleep 13 && notify-send "timer done" "your 13 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
countdown 14 seconds,sleep 14 && notify-send "timer done" "your 14 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
set a timer for 15 seconds,sleep 15 && notify-send "timer done" "your 15 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
start a 16 seconds timer,sleep 16 && notify-send "timer done" "your 16 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
can you set a timer for 17 seconds,sleep 17 && notify-send "timer done" "your 17 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
i need a timer for 18 seconds,sleep 18 && notify-send "timer done" "your 18 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
begin a timer for 19 seconds,sleep 19 && notify-send "timer done" "your 19 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
put a 20 seconds timer,sleep 20 && notify-send "timer done" "your 20 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
countdown 21 seconds,sleep 21 && notify-send "timer done" "your 21 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
set a timer for 22 seconds,sleep 22 && notify-send "timer done" "your 22 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
start a 23 seconds timer,sleep 23 && notify-send "timer done" "your 23 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
can you set a timer for 24 seconds,sleep 24 && notify-send "timer done" "your 24 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
i need a timer for 25 seconds,sleep 25 && notify-send "timer done" "your 25 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
begin a timer for 26 seconds,sleep 26 && notify-send "timer done" "your 26 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
put a 27 seconds timer,sleep 27 && notify-send "timer done" "your 27 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
countdown 28 seconds,sleep 28 && notify-send "timer done" "your 28 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
set a timer for 29 seconds,sleep 29 && notify-send "timer done" "your 29 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
start a 30 seconds timer,sleep 30 && notify-send "timer done" "your 30 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
can you set a timer for 31 seconds,sleep 31 && notify-send "timer done" "your 31 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
i need a timer for 32 seconds,sleep 32 && notify-send "timer done" "your 32 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
begin a timer for 33 seconds,sleep 33 && notify-send "timer done" "your 33 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
put a 34 seconds timer,sleep 34 && notify-send "timer done" "your 34 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
countdown 35 seconds,sleep 35 && notify-send "timer done" "your 35 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
set a timer for 36 seconds,sleep 36 && notify-send "timer done" "your 36 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
start a 37 seconds timer,sleep 37 && notify-send "timer done" "your 37 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
can you set a timer for 38 seconds,sleep 38 && notify-send "timer done" "your 38 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
i need a timer for 39 seconds,sleep 39 && notify-send "timer done" "your 39 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
begin a timer for 40 seconds,sleep 40 && notify-send "timer done" "your 40 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
put a 41 seconds timer,sleep 41 && notify-send "timer done" "your 41 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
countdown 42 seconds,sleep 42 && notify-send "timer done" "your 42 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
set a timer for 43 seconds,sleep 43 && notify-send "timer done" "your 43 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
start a 44 seconds timer,sleep 44 && notify-send "timer done" "your 44 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
can you set a timer for 45 seconds,sleep 45 && notify-send "timer done" "your 45 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
i need a timer for 46 seconds,sleep 46 && notify-send "timer done" "your 46 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
begin a timer for 47 seconds,sleep 47 && notify-send "timer done" "your 47 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
put a 48 seconds timer,sleep 48 && notify-send "timer done" "your 48 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
countdown 49 seconds,sleep 49 && notify-send "timer done" "your 49 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
set a timer for 50 seconds,sleep 50 && notify-send "timer done" "your 50 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
start a 51 seconds timer,sleep 51 && notify-send "timer done" "your 51 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
can you set a timer for 52 seconds,sleep 52 && notify-send "timer done" "your 52 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
i need a timer for 53 seconds,sleep 53 && notify-send "timer done" "your 53 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
begin a timer for 23 seconds,sleep 54 && notify-send "timer done" "your 54 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
put a 55 seconds timer,sleep 55 && notify-send "timer done" "your 55 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
countdown 56 seconds,sleep 56 && notify-send "timer done" "your 56 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
set a timer for 57 seconds,sleep 57 && notify-send "timer done" "your 57 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
start a 58 seconds timer,sleep 58 && notify-send "timer done" "your 58 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
can you set a timer for 59 seconds,sleep 59 && notify-send "timer done" "your 59 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
i need a timer for 60 seconds,sleep 60 && notify-send "timer done" "your 60 seconds timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
begin a timer for 1 minute,sleep 60 && notify-send "timer done" "your 1 minute timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
put a 2 minute timer,sleep 120 && notify-send "timer done" "your 2 minutes timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
countdown 3 minutes,sleep 180 && notify-send "timer done" "your 3 minutes timer is up!" && paplay /usr/share/sounds/freedesktop/stereo/complete.oga
